packet_size,protocol_type,burst_rate,flow_duration,source_port,dest_port,byte_count,retransmission_rate,jitter,latency,priority_class
150,1,4098,8.61,26212,5060,363958,1.76,2.03,10.09,0
917,1,615,40.8,3708,8080,6266564,1.29,20.75,55.08,1
1162,5,60,5.47,2661,587,3650641,4.33,46.78,107.78,2
1363,5,460,73.94,23436,80,3012317,7.58,21.99,84.73,2
1283,3,261,49.06,49774,110,2795892,3.59,39.93,175.93,2
1033,3,47,243.26,58278,8443,6533078,9.43,87.42,426.41,3
440,0,335,2.56,60874,25,1562391,5.41,48.51,36.55,2
383,1,1611,21.34,48748,3389,1257049,1.81,17.5,67.14,1
1174,0,399,148.1,40910,80,3696571,6.31,37.83,172.17,2
397,4,376,72.85,56310,443,9426018,2.11,18.62,33.38,1
449,5,464,26.25,60421,80,31085,2.27,47.31,115.23,2
1377,3,287,116.59,20109,21,20788489,5.93,20.72,117.9,3
263,1,3564,7.66,26924,5004,295721,0.08,4.93,21.65,0
504,3,711,146.07,35241,587,1795605,4.95,40.82,63.07,2
910,1,657,8.03,33512,5900,9845916,4.76,27.9,38.42,1
181,1,1769,4.02,24085,5060,349627,1.4,1.22,29.91,0
471,4,698,21.95,34347,53,3795852,1.59,42.19,107.56,2
1015,3,180,132.63,6253,8443,24972409,8.91,51.98,234.87,3
1279,3,88,102.17,47245,22,49059156,12.94,25.84,222.72,3
89,1,2616,24.82,27901,5061,77325,0.45,4.29,9.35,0
1057,3,52,155.62,59303,25,2572761,5.41,11.91,134.71,2
701,4,1359,54.59,24142,3389,1044545,3.92,12.43,39.86,1
1141,3,146,240.41,17570,8443,32347353,7.43,64.98,296.15,3
89,1,4350,8.73,24063,5004,223320,1.44,6.14,28.53,0
1009,3,53,180.36,31248,69,27923664,13.84,79.95,67.45,3
798,4,83,72.09,32234,587,1043218,4.63,49.45,175.31,2
218,1,4557,22.25,24480,5060,394002,1.42,5.57,9.6,0
1345,3,24,236.61,57169,22,41073209,8.68,66.38,142.8,3
696,3,514,73.47,14466,80,2981412,1.02,16.82,179.98,2
1100,3,168,102.04,43283,25,418018,4.21,14.16,127.48,2
203,1,4323,27.45,26604,4000,68965,0.13,1.75,29.79,0
287,1,2921,23.17,25374,5004,321098,0.43,0.16,9.73,0
1168,4,150,170.41,48145,25,3689480,7.76,44.14,197.3,2
780,3,198,57.28,59904,587,2622226,5.5,19.71,128.9,2
335,4,224,159.78,20440,443,3080977,4.82,47.23,176.93,2
506,4,1634,23.46,28793,3389,4435574,2.84,17.4,24.9,1
1437,0,282,42.2,43854,8443,33658837,14.08,80.86,230.58,3
1228,0,258,3.46,23480,80,2763261,3.83,48.31,64.97,2
349,4,191,146.0,59129,25,1165262,7.26,19.82,61.61,2
468,4,139,178.28,14635,443,1935652,4.29,14.62,170.91,2
109,0,3670,29.41,25715,4000,142564,0.77,8.53,10.19,0
563,3,231,76.73,46484,53,1503809,7.62,29.62,123.76,2
952,3,74,163.13,34806,80,3630760,4.86,23.77,63.27,2
289,1,1459,25.94,27643,5060,206615,0.56,0.34,19.72,0
1084,5,80,4.88,5366,110,2782000,1.97,36.15,105.68,2
1409,0,185,223.51,38557,21,19189765,13.95,94.05,145.37,3
268,0,4237,13.3,17136,5061,455529,1.83,8.03,14.08,0
836,0,1328,64.14,61760,8080,8830848,3.75,14.35,50.98,1
178,1,4789,16.08,21616,5061,274629,1.12,1.64,6.28,0
885,3,250,241.45,35108,443,35239964,13.63,22.43,392.36,3
1234,3,242,74.11,15631,22,16635881,7.79,87.88,407.7,3
1419,3,269,238.86,30533,69,10046422,6.95,80.55,166.82,3
339,4,1256,110.72,21953,8080,8228336,2.19,12.07,44.91,1
270,1,2698,16.94,28341,5060,267152,0.33,3.88,5.09,0
1313,3,103,179.85,1852,69,35076162,2.4,44.62,431.3,3
1117,5,695,2.14,43445,25,1355582,7.68,31.16,136.35,2
225,4,772,68.82,3793,443,570445,4.95,36.24,127.17,2
86,0,753,16.45,21160,5060,426468,0.83,5.27,2.58,0
223,1,840,10.34,29675,5060,468243,1.66,5.49,5.79,0
569,3,1253,57.1,55008,3389,2990653,4.23,29.95,68.69,1
1442,0,67,268.01,59620,8443,43061247,11.25,79.92,300.49,3
476,3,659,146.38,18875,443,3626093,3.15,23.14,59.54,2
231,5,456,150.64,23110,443,1350570,4.12,41.87,51.59,2
1431,3,187,195.82,1809,22,33674210,6.38,33.41,296.19,3
1159,4,1414,37.54,7750,80,9424386,2.09,28.68,62.33,1
809,0,653,37.07,22299,443,2053801,5.86,25.86,121.37,2
941,4,827,5.5,27009,80,6295433,0.98,22.54,11.4,1
573,3,786,39.06,14451,443,2732798,3.92,10.64,38.88,2
1434,3,107,206.67,8461,443,12909497,6.9,85.22,391.59,3
219,1,2459,1.27,17864,4000,190518,0.67,3.94,5.01,0
1246,5,602,2.31,33710,25,2083033,3.93,10.12,27.35,2
885,0,470,35.4,29138,5900,6676674,0.62,10.75,73.34,1
83,1,1175,5.79,17740,5060,282787,0.38,3.11,3.7,0
1493,3,187,115.64,14498,22,39341234,9.14,68.74,100.18,3
430,1,833,15.83,10738,8080,4893364,3.04,6.27,66.07,1
869,3,471,37.09,38450,110,2897906,4.99,36.26,40.79,2
514,0,1044,98.97,28282,8080,9163327,3.7,15.26,10.76,1
1039,0,206,138.54,39644,69,15606573,4.55,70.93,459.36,3
267,5,383,154.97,58446,443,3083163,1.38,35.37,106.75,2
245,1,3521,18.58,30995,4000,291749,0.45,2.29,5.68,0
1062,0,1593,87.83,60602,3389,8853858,1.62,5.04,25.65,1
152,1,1861,5.97,16910,5004,306607,1.15,9.37,26.13,0
633,3,1329,101.52,35754,80,5186286,1.6,5.67,10.56,1
824,5,187,60.22,44651,110,3790229,6.97,35.98,70.91,2
1017,0,279,246.98,55889,443,39299784,12.9,47.16,118.28,3
194,0,2077,14.98,21253,4000,180635,0.9,4.03,3.71,0
509,1,351,41.67,12220,3389,6797839,1.24,11.21,52.43,1
1327,0,289,50.32,49214,8443,20112363,9.44,36.67,258.83,3
260,1,2475,25.36,18925,5004,53227,1.54,5.05,13.58,0
808,3,202,238.27,44447,443,21838275,4.87,73.43,299.31,3
186,1,4638,0.1,23838,4000,124664,1.11,1.57,3.67,0
1024,0,177,276.72,22479,8443,42953466,14.56,48.68,282.31,3
136,1,2884,25.42,20319,5004,343162,0.62,2.63,1.89,0
568,0,1438,30.23,20664,80,3353372,2.13,24.28,35.91,1
830,3,176,61.57,18075,8443,37247401,8.43,27.56,322.8,3
734,5,728,136.25,27753,587,2361862,6.65,41.96,85.0,2
1162,3,84,293.92,50538,21,11586802,14.13,98.73,85.4,3
748,5,215,131.49,22865,25,599027,6.97,19.79,103.18,2
1105,0,40,111.26,45066,21,39482693,9.08,49.38,310.36,3
1189,4,231,148.9,46701,53,3566627,5.32,27.61,154.28,2
221,0,490,160.17,60038,587,4064136,6.1,31.09,37.83,2
1216,0,64,157.75,40819,443,39398446,5.98,85.54,297.12,3
395,1,1796,9.98,7300,80,8429900,0.98,6.2,64.94,1
1485,0,280,293.21,23488,69,19509393,12.13,21.82,431.39,3
477,4,116,179.63,16242,25,2009713,6.2,30.32,93.98,2
1011,3,256,297.66,14573,21,33513997,9.65,68.22,487.09,3
237,1,2622,17.08,24634,5061,51406,1.5,8.45,14.63,0
1495,3,108,177.35,22271,21,9358048,4.55,57.86,353.92,3
384,5,626,72.27,32286,110,3556369,6.96,45.1,67.93,2
921,0,84,223.13,4092,443,3808010,10.55,37.19,394.95,3
299,3,756,131.68,16344,53,4824650,7.97,42.69,64.74,2
1043,1,1539,96.87,64563,3389,3795568,4.55,13.96,43.64,1
362,4,350,159.25,20777,110,1896515,2.49,31.59,80.92,2
70,1,3833,8.4,27855,5060,225065,1.67,4.21,23.18,0
153,1,4056,16.3,20029,5061,85811,0.95,7.19,8.86,0
478,3,416,110.79,23348,587,2356488,2.84,18.92,155.5,2
866,5,223,159.3,62114,80,2166948,5.04,17.53,198.55,2
1061,0,539,93.27,54059,587,3749738,2.75,28.48,135.35,2
237,3,282,130.83,32582,587,1543289,3.71,21.93,43.89,2
84,0,4209,23.44,22099,5061,130394,1.06,8.73,20.93,0
401,0,1759,94.92,52702,5900,5422739,3.51,6.47,47.06,1
417,4,774,136.51,53565,443,2163212,5.08,20.21,135.41,2
1119,0,117,181.11,48461,8443,45838010,9.04,31.6,222.22,3
1312,3,227,135.55,2780,69,17572723,10.05,38.23,267.27,3
568,4,1929,38.11,23452,443,917220,1.99,9.15,20.99,1
71,1,2972,10.19,19123,5061,49447,1.14,3.63,29.61,0
402,4,600,106.16,59262,80,3431706,3.57,33.26,60.7,2
249,1,2172,16.88,21323,5060,380129,0.6,2.22,2.1,0
526,4,315,26.78,18161,80,4933461,3.11,20.64,13.62,1
1358,0,151,154.5,43778,25,3076340,3.51,13.47,66.06,2
939,3,1562,116.1,23546,80,4175739,1.5,11.12,33.65,1
1091,4,242,96.47,43012,8080,3155960,2.37,22.13,28.73,1
1264,5,424,48.7,14843,443,3256118,7.32,12.77,23.28,2
1023,0,285,200.7,1316,69,4125751,6.77,53.44,324.47,3
261,0,1702,10.11,21951,5004,344054,1.76,5.0,22.5,0
1237,0,156,270.5,61810,443,44008170,4.33,82.27,84.44,3
1206,4,766,164.89,5879,110,2726269,6.16,23.17,134.53,2
823,4,139,54.99,63423,587,1464923,4.66,47.19,48.23,2
858,3,55,100.57,21980,22,7446384,7.32,73.8,109.9,3
601,0,446,98.71,41880,80,6684219,4.8,23.11,58.64,1
1109,0,179,78.09,56042,443,26969067,11.71,90.78,81.39,3
611,4,454,112.6,24957,25,527099,7.1,41.5,146.88,2
739,0,1202,36.99,48625,8080,8899734,2.38,10.16,20.47,1
614,5,128,51.99,3599,53,1314308,2.56,11.47,193.97,2
825,4,317,38.56,18522,25,1769272,1.01,46.29,22.52,2
1245,3,53,110.54,24715,69,32821071,9.22,74.86,490.82,3
357,4,1325,68.62,52816,3389,8980186,3.57,18.98,18.82,1
83,1,2253,17.75,22959,5004,105332,0.01,4.35,12.83,0
270,0,57,151.46,29104,587,3649269,7.07,12.15,188.39,2
1214,3,148,290.79,58559,8443,25702672,3.6,43.85,304.98,3
961,4,177,160.0,18767,443,3000763,6.09,23.91,108.14,2
452,3,504,93.52,3543,80,3639936,2.85,7.64,19.94,1
303,4,516,101.85,23378,8080,7299876,1.73,27.89,67.99,1
1061,4,393,23.17,16974,53,2722521,5.3,31.19,198.27,2
1443,0,74,53.14,26014,21,39636969,11.8,88.85,102.03,3
1244,0,157,116.45,44786,8443,3776630,12.62,59.39,408.74,3
1281,0,86,79.28,60727,8443,46131435,14.66,88.82,189.6,3
169,1,589,16.26,26856,5061,305108,0.62,2.17,25.61,0
705,3,486,36.87,54374,53,2681372,2.06,19.64,146.29,2
916,3,72,100.98,41856,443,29582940,6.16,62.94,246.97,3
1174,0,633,25.5,30532,5900,2394135,3.56,27.43,19.53,1
229,5,434,95.86,61679,80,3288588,6.3,42.25,152.63,2
429,4,206,80.39,48324,443,2169844,6.28,13.16,170.82,2
927,5,338,101.98,46315,80,825617,7.91,11.39,88.71,2
266,0,3135,11.44,18944,5004,168231,1.15,8.43,5.05,0
1088,0,275,76.45,62241,69,23311770,12.01,41.28,222.33,3
1240,0,261,69.99,9777,22,3401675,2.42,94.18,427.73,3
1274,0,216,154.58,45687,8443,43905338,10.31,29.99,469.79,3
328,5,502,91.64,2624,587,819143,6.68,13.09,165.57,2
751,3,680,41.21,56456,80,1479138,1.03,14.66,61.37,1
1044,4,1595,53.28,9703,8080,6383616,1.58,14.31,17.77,1
883,1,1773,83.86,59712,8080,5748400,3.63,26.67,26.88,1
1378,5,248,130.58,24992,443,1733761,2.62,15.69,107.61,2
215,4,755,13.71,53682,587,2977834,1.16,24.35,146.26,2
1197,5,347,150.54,48286,110,844333,2.36,27.21,57.18,2
1369,0,149,190.67,52551,8443,4914980,2.68,86.13,289.54,3
527,3,1009,33.59,51673,80,6010915,3.57,11.72,67.06,1
810,0,39,226.91,22224,69,38144916,7.83,26.98,124.8,3
1396,5,649,74.1,20314,587,4615426,7.16,38.69,117.24,2
1063,0,19,48.29,21606,443,25409198,12.12,20.92,443.64,3
1146,3,126,136.13,24373,587,3779754,3.5,37.17,140.82,2
111,1,2179,3.61,22068,5061,282090,1.69,6.82,28.67,0
966,3,206,229.09,48798,8443,20161750,4.58,45.4,306.22,3
1266,4,373,83.94,23802,80,4194887,7.71,48.48,79.05,2
299,1,3394,17.85,31787,4000,240204,1.87,2.72,5.35,0
635,5,483,113.99,13690,110,1396481,6.97,30.9,121.92,2
669,4,289,31.2,54057,5900,7891644,1.97,18.66,41.11,1
156,1,4908,6.74,30679,4000,77218,1.01,5.99,10.84,0
621,3,775,133.96,36133,53,811214,5.02,29.69,183.75,2
1114,3,45,256.58,23598,22,17343993,4.34,47.98,107.51,3
884,5,587,169.75,28145,25,1240555,7.38,16.65,24.35,2
171,1,3775,24.98,17202,5060,284568,0.43,3.62,9.24,0
427,3,224,117.54,13326,110,869858,2.68,25.75,52.53,2
1341,3,83,82.23,17982,21,6034801,8.94,68.88,187.81,3
856,3,81,240.21,59670,443,31040422,8.93,57.55,367.01,3
1004,0,64,266.11,22596,21,44700320,10.52,55.26,111.76,3
791,4,226,84.05,39131,25,2335427,2.1,43.42,50.46,2
268,1,777,3.33,20659,4000,96965,0.65,2.0,17.11,0
855,3,600,137.32,6412,587,2277200,5.63,36.68,30.25,2
894,0,253,99.72,50301,443,970397,6.43,22.28,106.46,2
1330,5,394,168.89,55827,53,4823258,6.8,37.15,164.01,2
1074,0,170,58.53,3310,69,42705786,9.33,92.43,193.73,3
1313,3,593,36.38,25670,587,2147237,7.65,24.45,123.04,2
1109,4,165,62.3,13271,53,2640049,6.2,29.99,172.15,2
312,0,593,138.1,12195,53,1651293,2.98,37.17,192.67,2
472,5,403,33.42,42520,80,268228,3.79,49.38,43.88,2
952,3,275,79.51,4556,443,44558499,6.77,92.19,66.86,3
815,0,702,139.04,19753,443,1582753,7.53,41.07,71.85,2
632,4,665,73.67,30907,110,4221931,5.32,36.06,173.65,2
1069,0,748,31.59,23728,25,3321379,6.27,25.5,139.39,2
1295,0,190,154.25,11573,443,10263091,10.45,27.04,274.79,3
822,0,91,201.44,8298,22,9000867,3.63,24.68,325.58,3
984,3,67,96.24,51602,53,3188359,2.27,33.82,108.5,2
691,1,946,38.75,61221,3389,398510,0.93,13.67,12.56,1
692,4,270,163.61,31866,25,231405,2.44,49.43,164.05,2
833,4,1719,42.17,46252,80,119192,0.74,12.33,74.48,1
758,3,1552,78.44,14853,443,3248318,4.3,16.88,21.37,1
1341,3,131,60.48,13601,69,37158152,10.27,99.52,200.63,3
1266,4,648,36.74,21586,587,113507,5.79,20.24,169.91,2
915,0,895,24.63,9413,5900,6714843,2.46,28.32,45.29,1
857,4,622,57.82,24831,587,3574121,3.02,23.52,78.37,2
370,4,401,146.94,29563,53,240660,1.62,15.5,107.54,2
1242,4,522,34.83,7192,443,3350991,7.12,45.54,187.57,2
464,0,269,35.12,57256,53,1379496,4.23,11.19,98.13,2
1126,3,61,123.43,38462,69,35813303,12.11,38.47,96.9,3
944,3,582,104.75,61691,25,1125269,6.02,13.09,72.09,2
1402,3,70,75.89,35893,22,1520890,2.96,65.25,220.48,3
1020,0,167,78.64,18166,443,26045459,8.54,96.75,135.66,3
333,0,1739,62.68,3437,80,7661678,2.7,7.85,15.88,1
1312,5,130,54.3,11363,110,3893682,3.61,23.88,93.28,2
1135,3,61,67.71,4890,21,26612455,11.71,62.42,495.48,3
354,0,793,99.0,17607,443,2301492,1.34,37.81,181.42,2
579,3,301,122.95,62474,443,550101,7.69,41.8,166.68,2
1068,0,15,251.06,12841,22,4147938,2.19,35.08,214.42,3
964,1,1875,95.84,48683,5900,3196215,0.68,27.23,69.71,1
173,1,2750,13.82,27586,5061,182561,1.19,5.99,11.79,0
790,1,1721,106.93,50659,443,4573852,1.73,29.64,67.74,1
1091,3,174,108.3,34623,22,35474698,3.1,20.38,169.05,3
1359,3,147,21.57,50959,443,4116882,2.86,47.66,190.51,2
568,4,68,21.44,22720,110,241164,3.65,46.14,101.43,2
873,0,989,5.03,11658,3389,3180195,2.25,17.78,76.74,1
1358,0,160,189.49,15737,21,35622222,14.12,80.06,292.1,3
636,4,1097,100.57,60657,5900,7703083,2.43,22.99,49.19,1
1195,0,251,77.25,6141,8080,7177614,3.73,5.6,33.9,1
1008,3,243,49.34,30232,25,3888419,4.93,34.17,160.92,2
369,3,248,75.36,24623,110,3586421,6.58,11.89,197.7,2
952,5,612,10.87,32467,587,3523005,1.25,43.33,47.46,2
406,5,620,165.65,21152,80,1784605,7.36,20.63,95.91,2
642,4,400,146.69,24599,53,4326795,7.85,41.94,81.69,2
543,3,164,10.61,55405,80,4617500,2.25,44.33,56.37,2
1209,3,243,108.53,59544,22,8698914,3.56,85.3,356.98,3
1125,4,219,13.68,58987,80,3018250,1.28,32.77,38.95,2
649,4,1691,51.78,43113,443,120734,4.3,14.03,28.23,1
978,4,570,62.38,65110,5900,8854197,1.31,9.63,21.44,1
548,0,225,132.86,48490,587,2857759,2.4,12.47,154.53,2
1000,0,501,115.29,24220,5900,345954,3.98,20.63,31.56,1
213,1,1079,17.93,18752,5061,238469,0.53,1.77,21.12,0
603,0,882,64.44,30095,8080,150073,3.44,17.33,64.75,1
1054,3,147,261.67,23140,22,32329050,12.69,39.86,294.14,3
1315,3,85,75.57,41621,25,3208244,2.54,41.16,85.63,2
613,0,774,110.15,52665,8080,6070054,1.0,29.34,58.53,1
235,1,2962,13.72,28955,5004,349058,1.26,5.08,2.74,0
812,3,1004,89.89,30791,443,6603274,3.03,11.96,16.7,1
783,3,447,4.7,12580,443,2567542,3.46,30.53,66.93,2
1199,4,570,153.01,28069,587,730736,1.5,44.59,129.88,2
731,1,1419,48.53,31084,3389,4173091,2.67,16.59,46.54,1
558,3,1717,22.6,18228,5900,1175940,1.89,17.17,52.51,1
173,1,4314,27.29,26951,4000,482018,0.3,9.13,26.89,0
585,5,512,90.61,28029,110,2274339,1.33,13.15,96.27,2
1210,0,292,238.91,53901,69,11813543,5.61,77.5,75.9,3
956,0,1347,13.56,42054,3389,8210931,0.94,12.69,72.87,1
1116,4,766,14.12,41295,443,2513984,3.11,13.14,85.84,2
741,3,1253,81.79,48623,8080,5044869,2.82,28.6,43.47,1
1082,0,54,2.31,24857,53,3333895,4.15,32.83,126.18,2
1130,0,119,273.82,64406,443,9272884,13.67,87.28,407.62,3
482,1,205,5.47,22860,443,5318354,1.91,24.04,68.27,1
871,0,582,69.96,43834,80,9204012,3.17,5.63,14.58,1
924,3,459,33.67,52071,587,385932,5.38,14.52,186.39,2
1317,0,679,99.72,19813,53,4348035,3.78,16.57,49.52,2
1343,4,592,31.94,18059,80,953881,2.54,42.25,141.32,2
526,3,662,60.29,43655,80,9441177,1.05,5.93,32.44,1
791,0,1384,113.32,12433,8080,5211179,3.81,5.2,47.75,1
233,1,3560,26.16,29723,5004,201235,0.83,8.84,10.41,0
691,4,1774,118.24,53864,5900,4337959,4.59,22.69,13.18,1
966,4,171,82.01,27847,110,595118,3.47,31.64,189.95,2
997,0,131,196.98,10399,8443,13033827,11.07,49.14,424.38,3
1368,3,42,257.33,36208,21,8376282,3.82,78.26,399.64,3
760,4,356,78.34,15200,443,24126,1.19,21.69,84.11,2
94,1,3727,4.54,30866,5060,450110,0.02,8.1,6.11,0
648,5,374,150.55,42336,110,533849,1.73,25.16,22.28,2
729,5,400,114.27,8892,587,2131331,5.11,17.85,153.39,2
1171,0,770,117.34,9847,80,1705953,3.44,27.31,36.95,1
65,1,4993,12.47,24472,4000,494678,0.66,9.07,8.73,0
558,0,754,80.49,22026,25,4081621,6.46,12.72,100.02,2
1045,5,710,150.66,55424,587,4130270,4.16,14.82,66.31,2
